Year,Origin,Destination,Refugees,Returned,IDPs,Storyline
1994,Burundi,Dem. Rep. of the Congo,180098,1,0,
1994,Rwanda,Dem. Rep. of the Congo,1252837,450000,0,
1994,Sudan,Dem. Rep. of the Congo,111872,0,0,
1994,Somalia,Djibouti,20602,652,0,
1994,Sudan,Ethiopia,51800,0,0,
1994,Somalia,Ethiopia,269739,0,0,
1994,Afghanistan,India,22362,0,0,
1994,Afghanistan,Iran (Islamic Rep. of),1623331,226669,0,
1994,Iraq,Iran (Islamic Rep. of),613000,2290,0,
1994,Sudan,Kenya,27194,0,0,
1994,Somalia,Kenya,206268,59418,0,
1994,Afghanistan,Pakistan,1053000,102658,0,
1994,Ethiopia,Sudan,160585,13820,0,
1994,Iraq,Syrian Arab Rep.,36332,0,0,
1994,Myanmar,Thailand,82422,0,0,
1994,Burundi,United Rep. of Tanzania,202738,271087,0,
1994,Rwanda,United Rep. of Tanzania,626196,210000,0,
1994,Rwanda,Uganda,97000,210000,0,
1994,Sudan,Uganda,180000,0,0,
1994,Viet Nam,United States of America,211376,0,0,
1994,Somalia,Yemen,45350,725,0,
1995,Rwanda,Burundi,153000,39634,0,
1995,Myanmar,Bangladesh,50985,61504,0,
1995,Sudan,Central African Rep.,27252,0,0,
1995,Viet Nam,China,286783,0,0,
1995,Burundi,Dem. Rep. of the Congo,117902,3301,0,
1995,Rwanda,Dem. Rep. of the Congo,1100642,85988,0,
1995,Sudan,Dem. Rep. of the Congo,94192,0,0,
1995,Somalia,Djibouti,21321,0,0,
1995,Sudan,Ethiopia,61113,0,0,
1995,Somalia,Ethiopia,305351,0,0,
1995,Viet Nam,France,20618,0,0,
1995,Afghanistan,Iran (Islamic Rep. of),1429038,194287,0,
1995,Iraq,Iran (Islamic Rep. of),595500,17466,0,
1995,Sudan,Kenya,41215,17,0,
1995,Somalia,Kenya,172164,39821,0,
1995,Afghanistan,Pakistan,1200000,153274,0,
1995,Ethiopia,Sudan,48107,7397,0,
1995,Iraq,Syrian Arab Rep.,33912,3,0,
1995,Myanmar,Thailand,94910,4500,0,
1995,Burundi,United Rep. of Tanzania,227216,1137,0,
1995,Rwanda,United Rep. of Tanzania,547976,13060,0,
1995,Sudan,Uganda,209860,4,0,
1995,Viet Nam,United States of America,201816,0,0,
1995,Somalia,Yemen,49516,3153,0,
1996,Myanmar,Bangladesh,30578,23046,0,
1996,Sudan,Central African Rep.,30671,512,0,
1996,Viet Nam,China,288805,514,0,
1996,Burundi,Dem. Rep. of the Congo,30226,105653,0,
1996,Rwanda,Dem. Rep. of the Congo,423561,776521,0,
1996,Sudan,Dem. Rep. of the Congo,96529,291,0,
1996,Somalia,Djibouti,23010,0,0,
1996,Sudan,Ethiopia,75743,0,0,
1996,Somalia,Ethiopia,287761,0,0,
1996,Afghanistan,Iran (Islamic Rep. of),1414659,14537,0,
1996,Iraq,Iran (Islamic Rep. of),579200,81230,0,
1996,Sudan,Kenya,33477,47,0,
1996,Somalia,Kenya,171347,1010,0,
1996,Afghanistan,Pakistan,1200000,140390,0,
1996,Ethiopia,Sudan,51467,22981,0,
1996,Iraq,Sweden,20152,0,0,
1996,Iraq,Syrian Arab Rep.,26817,21,0,
1996,Myanmar,Thailand,104033,0,0,
1996,Burundi,United Rep. of Tanzania,385452,2308,0,
1996,Dem. Rep. of the Congo,United Rep. of Tanzania,55214,20,0,
1996,Rwanda,United Rep. of Tanzania,20020,506073,0,
1996,Dem. Rep. of the Congo,Uganda,28611,0,0,
1996,Sudan,Uganda,223720,1,0,
1996,Iraq,United States of America,20617,0,0,
1996,Viet Nam,United States of America,174633,0,0,
1996,Somalia,Yemen,43871,229,0,
1997,Myanmar,Bangladesh,21497,10070,0,
1997,Sudan,Central African Rep.,32541,0,0,
1997,Viet Nam,China,290621,278,0,
1997,Burundi,Dem. Rep. of the Congo,47004,24511,0,
1997,Rwanda,Dem. Rep. of the Congo,37000,178429,0,
1997,Sudan,Dem. Rep. of the Congo,61181,0,0,
1997,Somalia,Djibouti,21546,106,0,
1997,Sudan,Ethiopia,56868,0,0,
1997,Somalia,Ethiopia,249235,50000,0,
1997,Afghanistan,Iran (Islamic Rep. of),1411759,2000,0,
1997,Iraq,Iran (Islamic Rep. of),570794,10438,0,
1997,Sudan,Kenya,37351,23,0,
1997,Somalia,Kenya,174119,277,0,
1997,Afghanistan,Pakistan,1200000,84500,0,
1997,Dem. Rep. of the Congo,Rwanda,27105,0,0,
1997,Ethiopia,Sudan,44284,7300,0,
1997,Iraq,Sweden,21420,0,0,
1997,Iraq,Syrian Arab Rep.,21143,0,0,
1997,Myanmar,Thailand,105216,0,0,
1997,Burundi,United Rep. of Tanzania,459420,60700,0,
1997,Dem. Rep. of the Congo,United Rep. of Tanzania,74313,24400,0,
1997,Sudan,Uganda,160365,63310,0,
1997,Iraq,United States of America,25384,0,0,
1997,Somalia,United States of America,22613,0,0,
1997,Viet Nam,United States of America,137787,0,0,
1997,Somalia,Yemen,37439,400,0,
1998,Dem. Rep. of the Congo,Burundi,23085,3609,0,
1998,Myanmar,Bangladesh,22174,106,0,
1998,Sudan,Central African Rep.,33950,7,0,
1998,Viet Nam,China,292267,0,0,
1998,Rwanda,Dem. Rep. of the Congo,35000,2419,0,
1998,Sudan,Dem. Rep. of the Congo,31100,0,0,
1998,Somalia,Djibouti,21615,243,0,
1998,Sudan,Ethiopia,58580,0,0,
1998,Somalia,Ethiopia,195345,47881,0,
1998,Afghanistan,Iran (Islamic Rep. of),1400722,14000,0,
1998,Iraq,Iran (Islamic Rep. of),530610,12016,0,
1998,Sudan,Kenya,48162,89,0,
1998,Somalia,Kenya,164657,1570,0,
1998,Iraq,Netherlands,24388,0,0,
1998,Afghanistan,Pakistan,1200000,93000,0,
1998,Dem. Rep. of the Congo,Rwanda,31967,13,0,
1998,Ethiopia,Sudan,35559,8406,0,
1998,Iraq,Sweden,22623,0,0,
1998,Myanmar,Thailand,101686,0,0,
1998,Burundi,United Rep. of Tanzania,473768,14763,0,
1998,Dem. Rep. of the Congo,United Rep. of Tanzania,58282,52700,0,
1998,Sudan,Uganda,189840,0,0,
1998,Iraq,United States of America,22343,0,0,
1998,Somalia,United States of America,24419,0,0,
1998,Viet Nam,United States of America,105692,0,0,
1998,Somalia,Yemen,57426,1659,0,
1999,Dem. Rep. of the Congo,Burundi,20760,3621,0,
1999,Myanmar,Bangladesh,22131,1128,0,
1999,Sudan,Central African Rep.,35457,3,0,
1999,Viet Nam,China,293227,0,0,
1999,Rwanda,Dem. Rep. of the Congo,33000,35996,0,
1999,Sudan,Dem. Rep. of the Congo,68000,40,0,
1999,Somalia,Djibouti,21648,158,0,
1999,Sudan,Ethiopia,70262,0,0,
1999,Somalia,Ethiopia,180862,22990,0,
1999,Afghanistan,Iran (Islamic Rep. of),1325724,161094,0,
1999,Iraq,Iran (Islamic Rep. of),509964,20593,0,
1999,Sudan,Kenya,64254,90,0,
1999,Somalia,Kenya,141088,34,0,
1999,Afghanistan,Netherlands,20256,0,0,
1999,Iraq,Netherlands,24875,0,0,
1999,Afghanistan,Pakistan,1200000,91834,0,
1999,Dem. Rep. of the Congo,Rwanda,32951,12000,0,
1999,Ethiopia,Sudan,35396,0,0,
1999,Iraq,Sweden,23585,0,0,
1999,Sudan,Chad,23310,1,0,
1999,Myanmar,Thailand,99716,0,0,
1999,Burundi,United Rep. of Tanzania,498982,11317,0,
1999,Dem. Rep. of the Congo,United Rep. of Tanzania,98545,0,0,
1999,Rwanda,United Rep. of Tanzania,20098,1048,0,
1999,Sudan,Uganda,200565,4,0,
1999,Somalia,United States of America,27874,0,0,
1999,Viet Nam,United States of America,78355,0,0,
1999,Somalia,Yemen,55186,1856,0,
1999,Dem. Rep. of the Congo,Zambia,36421,0,0,
2000,Dem. Rep. of the Congo,Burundi,25847,336,0,
2000,Myanmar,Bangladesh,21556,1323,0,
2000,Sudan,Central African Rep.,36151,54,0,
2000,Viet Nam,China,294057,0,0,
