Year,Destination,Origin,Refugees
1992,Uganda,Rwanda,85806
1992,Uganda,Sudan,92110
1992,United States of America,Viet Nam,180326
1992,Yemen,Somalia,56204
1993,Burundi,Dem. Rep. of the Congo,25970
1993,Burundi,Rwanda,245548
1993,Bangladesh,Myanmar,198823
1993,Central African Rep.,Sudan,23326
1993,China,Viet Nam,285500
1993,Dem. Rep. of the Congo,Burundi,176351
1993,Dem. Rep. of the Congo,Rwanda,53490
1993,Dem. Rep. of the Congo,Sudan,111219
1993,Ethiopia,Sudan,44376
1993,Ethiopia,Somalia,228139
1993,India,Afghanistan,24421
1993,Iran (Islamic Rep. of),Afghanistan,1850000
1993,Iran (Islamic Rep. of),Iraq,645000
1993,Kenya,Ethiopia,26466
1993,Kenya,Sudan,31578
1993,Kenya,Somalia,219049
1993,Pakistan,Afghanistan,1476876
1993,Rwanda,Burundi,250000
1993,Saudi Arabia,Iraq,24025
1993,Sudan,Ethiopia,173200
1993,Syrian Arab Rep.,Iraq,35453
1993,Thailand,Myanmar,82289
1993,United Rep. of Tanzania,Burundi,444867
1993,United Rep. of Tanzania,Rwanda,51942
1993,Uganda,Rwanda,97000
1993,Uganda,Sudan,180000
1993,United States of America,Viet Nam,205469
1993,Yemen,Somalia,52400
1994,Burundi,Dem. Rep. of the Congo,21887
1994,Burundi,Rwanda,278092
1994,Bangladesh,Myanmar,116074
1994,Central African Rep.,Sudan,25889
1994,China,Viet Nam,285470
1994,Dem. Rep. of the Congo,Burundi,180098
1994,Dem. Rep. of the Congo,Rwanda,1252837
1994,Dem. Rep. of the Congo,Sudan,111872
1994,Djibouti,Somalia,20602
1994,Ethiopia,Sudan,51800
1994,Ethiopia,Somalia,269739
1994,India,Afghanistan,22362
1994,Iran (Islamic Rep. of),Afghanistan,1623331
1994,Iran (Islamic Rep. of),Iraq,613000
1994,Kenya,Sudan,27194
1994,Kenya,Somalia,206268
1994,Pakistan,Afghanistan,1053000
1994,Sudan,Ethiopia,160585
1994,Syrian Arab Rep.,Iraq,36332
1994,Thailand,Myanmar,82422
1994,United Rep. of Tanzania,Burundi,202738
1994,United Rep. of Tanzania,Rwanda,626196
1994,Uganda,Rwanda,97000
1994,Uganda,Sudan,180000
1994,United States of America,Viet Nam,211376
1994,Yemen,Somalia,45350
1995,Burundi,Rwanda,153000
1995,Bangladesh,Myanmar,50985
1995,Central African Rep.,Sudan,27252
1995,China,Viet Nam,286783
1995,Dem. Rep. of the Congo,Burundi,117902
1995,Dem. Rep. of the Congo,Rwanda,1100642
1995,Dem. Rep. of the Congo,Sudan,94192
1995,Djibouti,Somalia,21321
1995,Ethiopia,Sudan,61113
1995,Ethiopia,Somalia,305351
1995,France,Viet Nam,20618
1995,Iran (Islamic Rep. of),Afghanistan,1429038
1995,Iran (Islamic Rep. of),Iraq,595500
1995,Kenya,Sudan,41215
1995,Kenya,Somalia,172164
1995,Pakistan,Afghanistan,1200000
